row_name,logConc,logFC,pVal.Tgw,adj.pVal.Tgw,Tgw.Disp,UpDown.Tgw,B29,B30,B31,B32,LO2,LO3,LO4,LO5
gene1058,-3.616396983,6.50346434,2.49E-24,4.62E-23,0.082173975,-1,2043,513,1023,4945,21,6,21,5
gene2259,-3.098447582,6.797445993,2.94E-24,5.43E-23,0.062614654,-1,1878,507,1574,6938,24,13,34,16
gene2086,3.284341075,9.870923662,2.96E-24,5.45E-23,0.08349978,1,2931,372,1389,3976,2350,931,2743,900
gene1979,2.621448428,8.251724922,3.05E-24,5.58E-23,0.055547638,1,1142,234,583,2673,528,483,569,350
gene1279,2.500502461,7.590608652,4.54E-24,8.27E-23,0.049754798,1,658,186,441,1713,304,293,383,231
gene185,3.303412672,10.63477878,5.06E-24,9.16E-23,0.08521615,1,3095,1016,2798,5637,2554,2864,3908,1498
gene3616,3.205185957,11.59596997,5.28E-24,9.52E-23,0.08110842,1,6676.49,2199,4122,17160.93,3963.98,3633,7147,5263.91
gene2446,3.054247164,7.351323845,5.78E-24,1.04E-22,0.071614591,1,211,119,328,1247,277,229,425,192
gene1401,3.557165893,12.589415,5.85E-24,1.05E-22,0.096964556,1,11950,3406,8212,17600,10220,13079,11523,6005
gene177,5.212205005,5.857664158,9.11E-24,1.62E-22,0.165333525,1,15,7,29,151,190,60,121,90
gene777,-2.951628015,6.875333081,9.74E-24,1.72E-22,0.058052,-1,2020,642,1526,6477,28,20,28,21
gene2338,3.35462799,9.337343681,1.20E-23,2.12E-22,0.088661775,1,1180,443,870,2962,1209,1421,1151,525
gene233,-2.546260984,7.289068711,1.24E-23,2.17E-22,0.047420935,-1,3258,681,1913,8503,57,37,57,22
gene2051,-2.936716536,6.980508724,1.25E-23,2.18E-22,0.060323841,-1,2537,661,1504,6961,46,14,30,20
gene188,2.771384304,8.956418977,1.35E-23,2.34E-22,0.06355873,1,1312,389,1245,2977,1258,573,943,566
gene701,2.733687063,10.23080465,1.64E-23,2.84E-22,0.062665164,1,4268,1036,2393,6723,2244,1597,2671,1375
gene837,2.913849503,11.81727363,1.86E-23,3.21E-22,0.070513737,1,13159,2743,5302,18815,9553,3977,8493,3393
gene3942,4.046176918,10.7492848,2.05E-23,3.51E-22,0.122720167,1,2668,364,1695,6152,6901,1054,3900,1747
